,lsa_summarization summary
2093,"Energis took a similar approach, said Mr Seagrave.""You can see them going alphabetically through the list with the gambling sites, trying one after another,"" said Mr Seagrave.
So far there have been no attacks involving gigabytes of data, said Mr Seagrave.""We have technology out there that allows us to detect attacks in minutes rather than let network engineers spend hours pulling the information together,"" said Mr Seagrave.Malcolm Seagrave, security expert at Energis, said the most common types of attacks hit sites with 10 megabytes of data over short periods of time.Many of the gambling sites suffering DDoS attacks are in offshore data and hosting centres, so any large scale data flood could knock out access to many more sites than just the one the criminals were targeting, said Mr King.He said Energis also did its own intelligence work to get in insight into which sites criminal gangs plan to target."
2094,"The Associated Press agency reported that Mr Jacobsen also read personal files on the Secret Service agent who was apparently investigating the case.The US Secret Service has been investigating the case.It is thought that Mr Jacobsen's hacking campaign took place over at least seven months during which time he read e-mails and personal computer files, according to court records.

He is currently on bail.Although Mr Jacobsen, 21, managed to get hold of some data, it is thought he failed to get customer credit card numbers which are stored on a separate computer system, said Mr Dobrow.T-Mobile confirmed that the US Secret Service was also looking into whether the hacker accessed photos that T-Mobile subscribers had taken with their camera phones.A Los Angeles grand jury indicted Mr Jacobsen with intentionally accessing a computer system without authorisation and with the unauthorised impairment of a protected computer between March and October 2004."
2095,"The risk of infection by Cellery is thought to be very low as few copies of the worm have been found in the wild.

So far the number of people infected by Cellery is thought to be very small and the risks of further infection is very low.The Cellery worm does not spread via e-mail like many other viruses.The Cellery worm installs a playable version of the classic falling blocks game on PCs that it has infected.When it infects a machine, Cellery installs a version of Tetris that users can play.PCs running Windows 95, 98, ME, NT, 2000, and XP could be vulnerable to the worm.As the game starts up the worm also starts a music file to accompany it."
2096,"US state acts to stop 'spammers'

US state Texas has filed a lawsuit against two men believed to be among the world's top five spammers.

Lawyers for the alleged spammers said the lawsuit was groundless and the two men would defend themselves strongly against the accusations.If the men are found guilty and all penalties are applied, the two men could face a damages bill running into millions.It is seeking millions of dollars in damages in a civil lawsuit filed earlier this week.The court order stops the spammers sending e-mail and freezes assets prior to a hearing on a permanent injunction.
In a similar move the US Federal Trade Commission (FTC) has won a court order that stops an international group of spammers sending sexually explicit e-mail.and Leadplex Inc - that are suspected of sending out many millions of unwanted e-mail messages."
2097,"As part of their prize the pair also get a contract with Four-Kings Intel which is one of the UK's few pro-gaming teams.""There are a lot of people who take gaming very seriously and support their local or national team with the same passion as any other sport,"" said Simon Bysshe who filmed the event for Four-Kings and Intel.Mr Foster and Mr Treacy get the chance to attend the World Tour as members of the UK's Four-Kings gaming clan.Towards the end of 2004 Four-Kings staged a series of online Painkiller competitions to reveal the UK's top players of the PC game.The best eight players met face-to-face in a special elimination event in late December where Mr Foster and Mr Tracey proved their prowess at Painkiller.As part of their prize the pair will have their travel costs paid to ensure they can get to the different bouts.

""Professional gaming is here to stay and will only grow in popularity,"" he said.
"
2098,"The Ofcom spokesman said it was considering imposing a ""mask"" or set of technical restrictions on UWB-using devices.""We're seeking opinion from industry to find out whether or not we should allow UWB on a licence-exempt basis,"" said a spokesman for Ofcom.

Ofcom wants to ensure that the arrival of UWB-using devices does not cause problems for those that already use the same part of the radio spectrum.By contrast a preliminary Ofcom report found that it would be quite straight-forward to deploy UWB without causing problems for those that already use it.In April the EC is due to start its own consultation on Europe-wide adoption of UWB.He said that UWB was driving novel ways to interact with computers.At the recent Consumer Electronics Show in Las Vegas products with UWB chips built-in got their first public airing.

"
2099,"Mr Florin said the challenge was to keep people playing in their 30s, 40s and 50s.""With PS3 and Xbox 2, we can go on the main character with 30,000 to 50,000 polygons,"" he said.""There's an indication that a 30 year old comes home from work and still wants to play games.""We will be able to bring more people into gaming because games will be more emotional.""""People will want to play video games if their heroes like Robbie Williams or Christina Aguilera are in them.""Mr Florin predicted that the next round of games console would give developers enough power to create real emotion.

Mr Bolz said video games firm had to work more closely with celebrities."
2100,"The car on display is fitted with a 'duck clutch' - a switch on the gear stick used instead of the clutch pedal.""But in a competition car you have to have everything right or you'll lose the balance of the car,"" she said.She uses an ordinary road car by putting extensions on the pedals, a cushion behind her back and raising the seat.""The cars have electronic throttles, electronic brakes, electronic clutches - we've yet to turn anybody away.""""I bring everything back to me - steering wheel, steering column, gear lever and pedals.""It also has a second ring behind the steering wheel to operate the throttle and a hand operated brake bar.

Another exhibit on the Motorsport Endeavour stand is a Subaru Impreza rally car, adapted to accommodate a variety of disabilities."
2101,"""They are a place to store pictures, to share their pictures with families and friends and they can print out their photos.Friends and family can also access pictures you want them to see and they can print them out too.""Rather than just a place to dump your pictures, it's about sharing them.""It's one thing taking pictures, it's another finding them,"" said Mr Hawkins.But some historians and archivists are concerned that the need for perfect pictures will mean that those poor quality prints which offered a tantilising glimpse of the past may disappear forever.Many people's hard drives are bulging with photos and services which allow them to store and share their pictures online are becoming popular.""

While many of the services are aimed at the amateur and casual digital photographer, other websites are geared up for enthusiasts who want to share tips and information."
2102,"Huge media libraries on some players can make finding single songs hard.But with tens of thousands of songs able to be stored on one player, voice control would make finding that elusive track by Elvis Presley much easier.Portable players are becoming popular in cars and a number of auto firms are working with Apple to device interfaces to control the firm's iPod music player.Speak easy plan for media players

Music and film fans will be able to control their digital media players just by speaking to them, under plans in development by two US firms.

The firms gave no indication about whether the iPod, or any other media player, were in mind for the use of the voice control technology.Users will also be able to get more information on a favourite song they have been listening to by asking: ""What is this?""Gracenote provides music library information for millions of different albums for jukeboxes such as Apple's iTunes."
2103,"The service is similar to Sky Plus, as users can pause, fast forward and rewind content, but they cannot store programmes on their set top box - yet.Satellite customers without PVR cannot pause, rewind or fast forward their programmes.

The BBC is trialling a similar service, offering broadband users the chance to watch programmes already broadcast on their PC.Telewest will launch similar services later in the year.PVR has been a big success for Sky because it gives customers control over programmes.During the year, the service will be extended to all cable regions.Its pick of the week service will offer a selection of BBC programmes from the previous seven days such as Eastenders, Casualty, Top Gear and Antiques Roadshow."
2104,"""That's unprecedented,"" said Mr Hogan.""They are not an efficient way of spreading viruses,"" said Mr Hogan.By contrast, said Mr Hogan, the code for viruses such as Gaobot, Spybot and Randex were commonly held and many groups work on them to produce new variants at the same time.Although teenage virus writers will still play around with malicious code, said Mr Hogan, 2004 saw a significant rise in criminal use of malicious programs.Mr Cluley said: ""When the commercial world gets involved, things really get nasty.One of the biggest changes of 2004 was the waning influence of the boy hackers keen to make a name by writing a fast-spreading virus, said Kevin Hogan, senior manager in Symantec's security response group.Mr Hogan said worm writers were more interested in recruiting PCs to take part in ""bot nets"" that can be used to send out spam or to mount attacks on websites.

"
2105,"The Labs needed about 10 million euros (US$13 million) a year from corporate sponsors to survive.According to its latest accounts, Media Lab Europe said it spent 8.16 million euros (about US$10.6 million) in 2003 and raised just 2.56 million euros (US$3.3 million).
In recent months, 14 patent applications had been filed by the Labs.It is thought more than 50 people will lose their jobs when the Labs close on 1 February.The Labs, set up in an old Guinness brewery, housed around 100 people, made up of staff, researchers, students, collaborators and part-time undergraduate students.About three dozen small firms were attracted to the area, but it is thought the effects of the dot.com recession damaged the Labs' long-term survival.Dublin hi-tech labs to shut down

Dublin's hi-tech research laboratory, Media Labs Europe, is to shut down.

"
2106,"The incidental information about what a Sim was doing could reinforce what a player or student was supposed to be learning, said Mr Purushotma.This was because The Sims does not rely solely on words to get information across to players.By contrast, said Mr Purushotma, learning via something like The Sims may mean students do not feel like they are studying at all.If necessary detailed textual information could be called upon to aid players' or students' understanding.

For instance, he said, in a version of The Sims adapted to teach German, if a player misunderstood what was meant by the word ""energie"" the actions of a tired Sim, stumbling then falling asleep, would illustrate the meaning.One of the drawbacks of The Sims, said Mr Purushotma, was the lack of spoken language to help people brush up on pronunciation.By contrast many language lessons try to impart information about a tongue with little context."
2107,"Hackers can build malicious playlist files which could crash the program and let them seize control of the computer by inserting Trojan code.The security firm says users should avoid clicking on or accessing playlist files - which have the file extension of .pls or .m3u - which have come from unknown sources.Users can automatically upgrade iTunes by opening the ""look for updates"" window in the program.Hacker threat to Apple's iTunes

Users of Apple's music jukebox iTunes need to update the software to avoid a potential security threat.

Security firm iDefence, which notified users of the problem, recommended that users upgrade to iTunes version 4.7.1.Itunes is the world's most popular online music store with more than 200 million songs downloaded since it launched in 2003.
The problem affects all users of iTunes - Windows and Mac OS - running versions 4.7 and earlier."
2108,"""Not one of these systems has ever prevented piracy or illegal copying,"" he said.They say there are no guarantees the system will even prevent piracy.

He said many firms readily admit that their DRM systems are little protection against skilled attackers such as the organised crime gangs that are responsible for most piracy.The firms want to make a system that ensures files play on the hardware they make but also thwarts illegal copying.Systems that limit what people can do with the files they download are known as Digital Rights Management systems.""The studios and labels perceive an opportunity to sell you your media again and again - the iPod version, the auto version, the American and UK version, the ringtone version, and so on.""The difference is that it is very fragmented,"" he said."
2109,"Then they figure out how to make money and they always make a lot of money.""Once several high-profile legal cases against file-sharers are resolved this year, firms will be very keen to try and make money from P2P technology.The files would be locked seven days after a programme aired making rights management easier to control.The BBC has already decided to embrace the technology.Once the courts decided that the VCR in itself was not an illegal technology, the film studios turned it into an extremely lucrative business.But the technology is still demonised and misunderstood by many.Paid-for-pass-along, in which firms receive money each time a file is shared, along with various DRM solutions and advertiser-based options are all being considered."
2110,"Handsets with GPRS capability - an ""always on"" net connection - will rise to 75%, while 3G mobile ownership growing to five million by the end of 2005.It is predicted that there would be two billion handsets in use worldwide by the end of 2005.
Even though mobiles are becoming increasingly sophisticated with much more multimedia applications, texting is still one of the most useful functions of mobiles.These third generation mobiles offer a high-speed connection which means more data like video can be received on the phone.Globally, mobile phone sales passed 167 million in the third quarter of 2004, according to a recent report from analysts Gartner.Looking further ahead in the year, the MDA's chairman Mike Short, has predicted that more people will go online through their mobiles, estimating 15 billion WAP page impressions.Mobile owners have also given the chance to donate to the Disasters Emergency Committee's (DEC) Asian Tsunami fund by texting ""Donate"" to a simple short code number."
2111,"And in Pacific Assault in particular, their commands and comments are irritatingly meaningless.

A winning moment is an early scene in Pacific Assault, where you come under attack at the famous US base in Hawaii.Of the two games, Pacific Assault gets more things right, including little points like auto-saving intelligently and having tidier presentation.On a near-identical note, Medal of Honor: Pacific Assault does all it can to make you feel part of a tight-knit team and plum in the middle of all-out action.Its arenas are the war's Pacific battles, including Guadalcanal and Pearl Harbour.For its part, the long-running Medal of Honor series has added Pacific Assault to its PC catalogue, adapting the console game Rising Sun.You are first ushered into a gunboat attacking the incoming waves of Japanese planes, then made to descend into a sinking battleship to rescue crewman, before seizing the anti-aircraft guns."
2112,"Called Global System for Mobiles (GSM) this is now the most widely used phone technology on the planet and is used to help more than 1.2 billion people make calls.Mobiles have become so popular that many people use their handset as their only phone and rarely use a landline.

Mr Caudwell said the advent of digital technology also helped to introduce all those things, such as text messaging and roaming that have made mobiles so popular.
This was also despite the fact that the phones used analogue radio signals to communicate which made them very easy to eavesdrop on.The UK was not far behind the rest of the world in setting up networks in 1985 that let people make calls while they walked.""Despite that they were hugely popular in the mid-80s,"" he said.Both newcomers operated digital mobile networks and now all operators use this technology."
2113,"However, the new Cabir strains have this mistake corrected and will spread via short range Bluetooth technology to any vulnerable phone in range.Bluetooth has an effective range of a few tens of metres.The new strains of the Cabir mobile phone virus use short-range radio technology to leap to any vulnerable phone as soon as it is in range.All they do is block normal Bluetooth activity and drain the phone's battery.Users can protect themselves by altering a setting on Symbian phones that conceals the handset from other Bluetooth using devices.Symbian's Series 60 software is licenced by Nokia, LG Electronics, Lenovo, Panasonic, Samsung, Sendo and Siemens.
Fast moving phone viruses appear

Security firms are warning about several mobile phone viruses that can spread much faster than similar bugs.

"
2114,"""

Consumer electronics and gadgets had a phenomenal year in 2004, according to figures released by CES organisers, the CEA, on Tuesday.Shipments of consumer electronics rose by almost 11% between 2003 and 2004.Doors open at biggest gadget fair

Thousands of technology lovers and industry experts have gathered in Las Vegas for the annual Consumer Electronics Show (CES).

That trend is predicted to continue, according to CEA analysts, with wholesale shipments of consumer technologies expected to grow by 11% again in 2005.The gadget explosion signalled the strongest growth yet in the US in 2004.CES runs officially from 6 to 9 January.
The fair showcases the latest technologies and gadgets that will hit the shops in the next year."
2115,"Spyware is surreptitious software that sneaks on to home computers, often without users' knowledge.Also being released is a software utility that will help users find and remove any spyware on their home computer.Although initially free it is thought that soon Microsoft will be charging users for the anti-spyware tool.

In its most benign form it just bombards users with pop-up adverts or hijacks web browser settings.Surveys have shown that most PCs are infested with spyware.Microsoft debuts security tools

Microsoft is releasing tools that clean up PCs harbouring viruses and spyware.

The most malicious forms steal confidential information or log every keystroke that users make."
2116,"In late December movie studios launched a legal campaign against websites that helped people swap pirated movies using the BitTorrent network.One of the sites shut down by the legal campaign was suprnova.org which helped boost the popularity of the BitTorrent system by checking that trackers led to the movies or TV programmes they claimed to.

The legal campaign worked because of the way that BitTorrent is organised.He added that the legal attacks on BitTorrent had driven people away from sites such as Suprnova but many users had simply migrated to other tracker listing sites many of which have seen huge increases in traffic.Shutting down sites that listed trackers crippled the BitTorrent network.Legal attacks on websites that help people swap pirated films have forced the development of a system that could be harder to shut down.

This, said Sloncek, should make the system less vulnerable to legal action aimed at stopping people swapping pirated movies and music."
2117,"High-definition DVDs will cut down on that need.The next generation of DVDs will hold high-definition video and sound.Next generation DVDs will also be able to store images and other data.Likewise, consoles rely on single discs, so DVDs that can hold six times more data mean much better, high-resolution games.When players do come out, they will be able to play standard DVDs too, which is good news for those who have huge libraries of current DVDs.

Mr Doherty added that it was making sure the discs could satisfy all high-definition needs, including the ability to record onto the DVDs and smaller discs to fit into camcorders.""As we move from standard definition video images to high-definition images, we have a much greater need for storage,"" Richard Doherty, from Panasonic's Hollywood Laboratories, one of the pioneers of Blu-ray, told the BBC news website."
2118,"Ms Fiorina also announced that HP was working with Nokia to launch a visual radio service for mobiles, which would launch in Europe early this year.The service is designed to make mobile radio more interactive.

The service will let people listen to radio on their mobiles and download relevant content, like a track's ringtone, simultaneously.In a separate announcement during the keynote speech, Ms Fiorina said that HP would be partnering MTV to replace this year's MTV Asia music award.Ms Fiorina was one of several keynote speakers, who also included Microsoft chief Bill Gates, to set out what major technology companies think people will be doing with technologies and gadgets in the next 12 months.Ms Fiorina's talk also touted the way technology is being designed to focus on lifestyle, fashion and personalisation, something she sees as key to what people want.

More power to the people says HP

The digital revolution is focused on letting people tell and share their own stories, according to Carly Fiorina, chief of technology giant Hewlett Packard.

"
2119,"""Everything is going digital,"" Kirsten Pfeifer from the Consumer Electronics Association, told the BBC News website.More than 57% of the consumer electronics market is made up of female buyers, according to CEA research.A Sony representative told the BBC News website this was because Sony did not consider it to be part of their ""consumer technology"" offering.

""Consumers are controlling what they want and technologies like HDTVs [high-definition TVs], digital radio, and digital cameras will remain strong in 2005.""A lot of this is driven by just the ability to do it,"" said Stephen Baker, a consumer electronics analyst with retail research firm NPD Group.The Consumer Electronics Show (CES) featured the pick of 2005's products.Industry experts were also excited about high-definition technologies coming to the fore in 2005, with new formats for DVDs coming out which will hold six times as much data as conventional DVDs."
2120,"Mr Jobs told the delegates at MacWorld that iPod already had a 65% market share of all digital music players.
The smaller iPod will hold about 120 songs, said Mr Jobs.The music player has no display and will play songs either consecutively or shuffled.Mr Jobs also unveiled the iPod shuffle, a new music player using cheaper flash memory rather than hard drives, which are used in more expensive iPods.

Chief executive Steve Jobs showed off the new machine at his annual MacWorld speech, in San Francisco.The new iPod shuffle comes in two versions - one offering 512mb of storage for $99 (Â£69 in the Uk) and a second with one gigabyte of storage for $149 (Â£99) - and went on sale Tuesday.In an attempt to win over Windows PC customers, Mr Jobs said it would appeal to people thinking of changing operating systems."
2121,"The cost of paying even as little as 70p per track can add up, particularly for those people who own one of the new generation of players that can store thousands of songs.The service can be used on players that support Microsoft Windows latest Digital Rights Management technology known as Janus.""Who wants to download a track that won't play next month if you decide to unsubscribe to the service or change portable player for an iPod or the latest mobile phone?""The technology ensures that music downloaded to the player only remains playable while the user subscribes to the service.While iTunes is doing good business with its sales of individual tracks to iPod owners, others are questioning whether the concept of owning music is even valid in the digital age.This includes players made by Samsung, Rio and Creative.

Paying per track for music is becoming as outmoded as paying per minute for internet access and alternative monthly or yearly subscription models are springing up as a more convenient, and ultimately cheaper way of owning music.

"
2122,"Energis took a similar approach, said Mr Seagrave.""You can see them going alphabetically through the list with the gambling sites, trying one after another,"" said Mr Seagrave.
So far there have been no attacks involving gigabytes of data, said Mr Seagrave.""We have technology out there that allows us to detect attacks in minutes rather than let network engineers spend hours pulling the information together,"" said Mr Seagrave.Malcolm Seagrave, security expert at Energis, said the most common types of attacks hit sites with 10 megabytes of data over short periods of time.Many of the gambling sites suffering DDoS attacks are in offshore data and hosting centres, so any large scale data flood could knock out access to many more sites than just the one the criminals were targeting, said Mr King.He said Energis also did its own intelligence work to get in insight into which sites criminal gangs plan to target."
2123,"They speculate that the Mac mini will be bought by iPod owners and those wanting an easy-to-use and administer second home computer.

His only misgivings were over how easy other consumers, other than iPod owners, would find using the machine.Also, he said, it appealed in categories that few consumers care about when buying a home computer.The Mac mini could find a role in homes that need a second computer that is easy to install and administer, he said.Said Mr Fogg: ""It's very much a computer.""""For consumers interested in style, design and small size - which is what the majority of iPod customers are interested in - it's a natural next step,"" said Mr Fogg.He said anyone wanting to use the Mac mini with the peripherals from an old computer may find it odd to have something so small and sleek next to a hulking monitor."
2124,"Wireless and a dvd burner can be added at extra cost.

Wireless and a dvd burner can be added at extra cost.

A DVD burner, or any wireless components built in.The lack of a DVD burner is an omission in the age of backing-up important software.There is also no built-in support for wireless technology or any speakers.A 2.6ghz Intel Celeron chip, 40 gigabyte hard drive, 256mb, combined CD burner/DVD player.Cost is the clear advantage."
2125,"Huge media libraries on some players can make finding single songs hard.But with tens of thousands of songs able to be stored on one player, voice control would make finding that elusive track by Elvis Presley much easier.Portable players are becoming popular in cars and a number of auto firms are working with Apple to device interfaces to control the firm's iPod music player.Speak easy plan for media players

Music and film fans will be able to control their digital media players just by speaking to them, under plans in development by two US firms.

The firms gave no indication about whether the iPod, or any other media player, were in mind for the use of the voice control technology.Users will also be able to get more information on a favourite song they have been listening to by asking: ""What is this?""Gracenote provides music library information for millions of different albums for jukeboxes such as Apple's iTunes."
2126,"New Yorker William Trowbridge and Texan Michael Chicoine have pleaded guilty to charges that they infringed copyright by illegally sharing music, movies and software.The Department of Justice said that both men pleaded guilty to one count of conspiracy to commit felony copyright infringement.They also pleaded guilty to acting for commercial advantage.The two men faced charges following raids in August on suspected pirates by the FBI.In total, six raids were carried out in August.Five were on the homes of suspected copyright thieves and one on a net service firm.The two men are due to be sentenced on 29 April.
"
2127,"""Not one of these systems has ever prevented piracy or illegal copying,"" he said.They say there are no guarantees the system will even prevent piracy.

He said many firms readily admit that their DRM systems are little protection against skilled attackers such as the organised crime gangs that are responsible for most piracy.The firms want to make a system that ensures files play on the hardware they make but also thwarts illegal copying.Systems that limit what people can do with the files they download are known as Digital Rights Management systems.""
""People want portability,"" she said, ""and with peer-to-peer they have 100% portability."""
2128,"One thing that is for sure - assuming that Nokia retains its market share in handsets, it is estimating that there will be 100 million Visual Radio-enabled mobile phones in circulation by the end of 2006.Games, cameras and music players have all been added to our handsets in the last few years, but 2005 could see another big innovation that won't just see a change in our mobile phone habits - it might alter the way we listen to the radio.The growth in the mobile phone market in the past decade has been nothing less than astonishing, but the ability to communicate on the go is not the only reason we are hooked.Mobiles get set for visual radio

Initially Visual Radio functionality will be limited to two Nokia handsets due out soon - the 3230 and 7710 - but if successful, it is very likely that other manufacturers will want to join them.

""If you have a Visual Radio enabled handset, when you hear an artist you don't know, or there's a competition or vote that you'd like to participate in, you pull out your handset and with one click you turn on a visual channel parallel to the on-air broadcast you've just been listening to.""Not only does this give listeners more information on the music we play but means they can instantly purchase things they like; mp3 music downloads and the latest gig tickets."""
2129,"Most standard UK TV pictures are made up of 625 lines and about 700 pixels.All TV images are made up of pixels which go across the screen, and scan lines which go down the screen.HD offers up to 1,080 active lines, with each line made up of 1,920 pixels.This means the picture is up to six times as sharp as standard TV.And most new computer displays and plasma sets are already capable of handling such high-resolution pictures.This means they are likely to have higher disposable incomes and can afford the price of big-screen, high-definition display technologies and HD projectors, earlier than others.

Until broadcast rights, format standards - and the practicalities of updating equipment - are agreed, TV content will be limited."
2130,"Bill Thompson thinks it's about time.

It is, as they say, about time.Bill Thompson is a regular commentator on the BBC World Service programme Go Digital.
The car engine is a case in point: lead additives helped stop petrol vapour exploding too early in the cylinder, a phenomenon called 'knocking', so they were simply used without any real thought for the fact that the lead would end up in the atmosphere.My first car ran on four star petrol and pumped vast quantities of lead into the atmosphere as I drove around Cambridge.Now you can't buy petrol with lead additives, and we're all better off as a result.Redesigning engines and making petrol slightly different was a lot more work, so it took decades before it was done."
2131,"Windows Genuine Advantage was first introduced as a pilot scheme in September 2004 for English-language versions of Windows.

The Windows Genuine Advantage scheme means people will have to prove their software is genuine from mid-2005.The scheme meant that anyone with pre-installed copies of the operating system in PCs bought before November could replace counterfeit versions of Windows XP with legal ones for free.Last year it introduced the Windows XP Counterfeit Project, a UK-based pilot scheme, which ran from November to December.Microsoft makes anti-piracy move

Microsoft says it is clamping down on people running pirated versions of its Windows operating system by restricting their access to security features.

Those running pirated Windows programs would not have access to other downloads and ""add-ons"" that the software giant offers.

It is also increasing efforts to squash software piracy in China, Norway and the Czech Republic, where pirated software is a huge problem, by offering discounts on legitimate software to users of pirated copies Windows."
2132,"Developers will certainly have the tools with the new machines, but how they employ them is still to be decided.
The details of PlayStation 3, Xbox 2 (codename Xenon) and Nintendo's so-called Revolution are still to be finalised but developers are having to work on titles for the new machines regardless.

Until it is clear precisely what the new machines can do, developers are working on a first round of titles to harness the new horsepower.We're being given more tools.Sony, Microsoft and Nintendo are all expected to release new machines in the next 18 months.""We are working on new libraries of effects.We may not know when they will be released, what they will be called or even what they will be able to do but one thing is certain - they are coming."
2133,"The voice recognition function is currently only available in English.Unlike commercially available voice recognition software, Opera does not have to be ""trained"" to recognise an individual voice.Around 50 voice commands are available and users will have to wear a headset which incorporates a microphone.The voice features, based on IBM technology, are currently only available in the Windows version.The latest version of the net browser can be controlled by voice command and will read pages aloud.""So we would obviously not want to exclude disabled computer users.Opera can also magnify text by up to 10 times and users can create ""style sheets"", its developers say."
2134,"The game lets you play via Bluetooth if others are in range.As soon as I start playing this I remember why I never play driving games - because I'm rubbish at them.The only niggle was that the interface was a bit confusing especially when using a joystick rather than the keypad to play.

A few games also let you take on people in real time via the network or, if you are sitting close to them, via Bluetooth short-range radio technology.And given that many more people own handsets than own portable game playing gadgets such as the GameBoy it could be a very lucrative market.But these two features should help point you in the direction of the game makers and give you an idea of where to look and how to get playing.

That audience includes commuters wanting something to fill their time on the way home, game fans looking for a bit of variety and hard core gamers who like to play every moment they can."
2135,"So, Millan and his friends launched a website called latinohiphopradio.com.Mustafa Yoda is currently one of the hottest tracks on latinohiphopradio.com.But one Spaniard is still firmly in latinohiphopradio.com's top 10.Currently, the Chilean group Makisa is also in latinohiphopradio.com's top 10, as is Cuban artist Papo Record.Latinohiphopradio.com has been up and running for a couple of months now.Latinohiphopradio.com is hoping to expand in the coming year.Millan and two friends set out to change that - they wanted to make groups like Los Caballeros de Plan G accessible to fans globally.

"
2136,"""In the HD version of Episode I, all these make-up lines showed up,"" explains Mr Dean.Mr Dean is confident though: ""I think if they seeCurrently, an entire DVD project can take up to three months, says Mr Dean.But if the consumer is not willing to pay a premium price, studios will listen, thinks Mr Dean.

And if studios do focus on delivering more ""added value content"", thinks Mr Dean, ultimately it could mean that they will want more money for it.""When we did the first HD version of Star Wars Episode I, everybody was very sun-tanned, but that was make-up.""When we master movies right now, our data rates are running at about 1.2 gigabits per second,"" says Mr Dean."
2137,"While virus traffic has slowed down, denial of service attacks are on the increase according to the firm.It is no longer just multi-nationals that are in danger of so-called denial of service attacks, in which websites are bombarded by requests for information and rendered inaccessible.Virus mail accounts for just over 15% of all e-mail traffic analysis by the firm has found.

Half of spam received since Christmas has been health-related with gambling and porn also on the increase.Junk e-mails on relentless rise

Spam traffic is up by 40%, putting the total amount of e-mail that is junk up to an astonishing 90%.

Scam mails, offering ways to make a quick buck, have declined by 40%.The figures, from e-mail management firm Email Systems, will alarm firms attempting to cope with the amount of spam in their in-boxes."
2138,"Warning over tsunami aid website

Net users are being told to avoid a scam website that claims to collect cash on behalf of tsunami victims.

The link to the website is contained in a spam e-mail that is currently circulating.This is not the first attempt to cash in on the outpouring of goodwill that has accompanied appeals for tsunami aid.Another tsunami-related e-mail is also circulating that carries the Zar worm which tries to spread via the familiar route of Microsoft's Outlook e-mail program.Other scam e-mails included a link to a website that supposedly let people donate money but instead loaded spyware on their computers that grabbed confidential information.The site is just the latest in a long list of scams that try to cash in on the goodwill generated by the tsunami disaster.

The con was very similar to the familiar Nigerian forward fee fraud e-mails that milk money out of people by promising them a cut of a much larger cash pile."
2139,"""You are seeing older users being educated by the media and are seeing them picking up on this threat.But net service providers still need to take more responsibility in making sure people are educated about net threats before they go online, particuarly if they are new to broadband, he said.

Programs also need to be tailored so that they can be installed by dial-up users with a slower connection too, said Mr Goosens.The research reflects the changing stereotype and demographics of web users, as well as growing awareness of the greater risks that high-speed broadband net connections can pose to surfers.

""It is more likely the younger users who naively assume that because they are using a reputable service provider, that they are safe to connect to the net.""The research shows that more people are taking these criminal net threats more seriously because, said Mr Goosens, they are reported in the press much more.""You started off with young male stereotype computer users for last 10 years,"" Paul Goosens, head of Preventon told the BBC News website."
2140,"Sony PSP console hits US in March

US gamers will be able to buy Sony's PlayStation Portable from 24 March, but there is no news of a Europe debut.

Nintendo has said it will release the DS in Europe from 11 March.""It has gaming at its core, but it's not a gaming device.The console (12cm by 7.4cm) will play games, movies and music and also offers support for wireless gaming.It's an entertainment device,"" said Kaz Hirai, president of Sony Computer Entertainment America.
Sony has said it wanted to launch the PSP in Europe at roughly the same time as the US, but gamers will now fear that the launch has been put back.Sony is entering a market which has been dominated by Nintendo for many years.

"
2141,"""Search engines are about discovering information for the first time and RSS is the ideal way to keep track of and monitor those sites,"" he said.The acquisition follows similar moves by other search sites.The Bloglines site has become hugely popular as it gives users one place in which to read, search and share all the blogs they are interested in.To do this it makes use of a technology known as Really Simple Syndication (RSS) that many blogs have adopted to let other sites know when new entries are made on their journals.Bloglines has become popular because it lets users build a list of the blogs they want to follow without having to visit each journal site individually.In 2004 MSN introduced its own blog system and Yahoo has tweaked its technology to do a better job of handling blog entries.""Our intent is to take our time to figure out the right business model not to try to monetise it right away,"" he said."
2142,"Sony and IBM want to make sure that the dominance of the PC market enjoyed by Microsoft and Intel is not allowed to extend to this market.Companies like Microsoft and Sony believe that there is a lot of money to be made by putting a computer underneath the TV of every household and then offering services such as music and video downloads, as well as giving an individual access to all the media they already own in one place.

Both companies believe that increasing the capabilities of games consoles, to make them as powerful as PCs, will make the technology accessible enough to persuade buyers to give them pride of place on the video rack.

Microsoft has already made its first tactical move into this area with its Windows Media Center software, which has been adopted by many PC makers.Sony will be using the chip inside its PlayStation 3 console, and its dominance of the games market means that it now has a lot of power to dictate the future of computer and gaming platforms.Whilst its rivals are working on similar technology, it is Sony's which is the most advanced.Microsoft is going to be pushing its Xbox 2 as hard as possible to make sure that its technology, not Sony's, will be under your tree next Christmas."
2143,"IBM has said it will sell a workstation with the chip starting later this year.

It is being designed for use in graphics workstations, the new PlayStation console, and has been described as a supercomputer on a chip.The PlayStation 3 is expected in 2006, while Toshiba plans to incorporate it into high-end televisions next year.Sony, IBM and Toshiba, who have been working on the Cell processor for three years, unveiled the chip on Monday.He said: ""It has the vision of what it could be because you need the big vision to sell it.Later this year, Intel and Advanced Micro Devices plan to release their own ""multicore"" chips, which also increase the number of instructions that can be executed at once.And while marketing speak describes the chip as a ""supercomputer"" - it remains significantly slower than the slowest computer on the list of the world's top 500 supercomputers."
