,text_matching_algorithm summary
2107,"Hacker threat to Apple's iTunes

Users of Apple's music jukebox iTunes need to update the software to avoid a potential security threat.

The security firm says users should avoid clicking on or accessing playlist files - which have the file extension of .pls or .m3u - which have come from unknown sources.Hackers can build malicious playlist files which could crash the program and let them seize control of the computer by inserting Trojan code.Security firm iDefence, which notified users of the problem, recommended that users upgrade to iTunes version 4.7.1.Itunes is the world's most popular online music store with more than 200 million songs downloaded since it launched in 2003.
A new version of iTunes is now available from the Apple website which solves the problem.Users can automatically upgrade iTunes by opening the ""look for updates"" window in the program."
2108,"By setting up the alliance to work on a common control system, the firms said they hope to end this current fragmentation of file formats.The firms want to make a system that ensures files play on the hardware they make but also thwarts illegal copying.Marlin will be built on technology from rights management firm Intertrust as well as an earlier DRM system developed by a group known as the Coral Consortium.

The firms hope that it will also make it harder for consumers to make illegal copies of the music, movies and other digital content they have bought.""The studios and labels perceive an opportunity to sell you your media again and again - the iPod version, the auto version, the American and UK version, the ringtone version, and so on.Currently many online stores wrap up downloadable files in an own-brand control system that means they can only be played on a small number of media players.""It always works out that consumer needs win out in the long run,"" she said, ""and the services that win in the long run are the ones that listen to consumers earliest."""
2109,"The music and film industries have started some big legal cases against owners of legitimate P2P networks - which are not illegal in themselves - and of individuals accused of distributing pirated content over networks.P2P nets can be used to share any kind of file, like photos, free software, licensed music and any other digital content.Since the first successful file-sharing network Napster was forced to close down, the entertainment industry has been nervous and critical of P2P technology, blaming it for falling sales and piracy.But many net users will continue to ignore the entertainment industry's potential controlling grip on content and P2P technology by continuing to use it for their own creations.But they have slowly realised that P2P is a good way to distribute content, said Travis Kalanick, founder and chairman of P2P network Red Swoosh, and soon they are all going to want a slice of it.Legal music download services, like Apple iTunes, Napster, have rushed into the music marketplace to try and lure file-sharers away from free content.Once several high-profile legal cases against file-sharers are resolved this year, firms will be very keen to try and make money from P2P technology."
2110,"Text message record smashed

UK mobile owners continue to break records with their text messaging, with latest figures showing that 26 billion texts were sent in total in 2004.

Before December's bumper text record, the previous highest monthly total was in October 2004, when 2.3 billion were sent.Handsets with GPRS capability - an ""always on"" net connection - will rise to 75%, while 3G mobile ownership growing to five million by the end of 2005.Globally, mobile phone sales passed 167 million in the third quarter of 2004, according to a recent report from analysts Gartner.Text messaging is set to smash more records in 2005 too, said the MDA, with forecasts suggesting a total of 30 billion for the year.

Booking cinema tickets, text voting, and news or sports text alerts are growing popular.Looking further ahead in the year, the MDA's chairman Mike Short, has predicted that more people will go online through their mobiles, estimating 15 billion WAP page impressions."
2111,"This notion of shuffling the player along a studiously pre-determined path, forcibly witnessing a series of pre-set moments of action, is a perilous business which can make the whole affair feel stilted rather than organic.On a near-identical note, Medal of Honor: Pacific Assault does all it can to make you feel part of a tight-knit team and plum in the middle of all-out action.Those looking for a wartime game with plenty of atmosphere and a hearty abundance of enemies to shoot will be contented.The game's drawback could be said to be its format; tastes differ, but these wartime shooters often do seem to work better on PC.Big war games battle it out

The arrival of new titles in the popular Medal Of Honor and Call of Duty franchises leaves fans of wartime battle titles spoilt for choice.

For its part, the long-running Medal of Honor series has added Pacific Assault to its PC catalogue, adapting the console game Rising Sun.It is a traditional first-person-viewed game that lets you control just one character, in the midst of a unit where cohorts constantly bark orders at you."
2112,"Britain's first mobile phone call was made across the Vodafone network on 1 January 1985 by veteran comedian Ernie Wise.The first ever call over a portable phone was made in 1973 in New York but it took 10 years for the first commercial mobile service to be launched.Called Global System for Mobiles (GSM) this is now the most widely used phone technology on the planet and is used to help more than 1.2 billion people make calls.In the 20 years since that day, mobile phones have become an integral part of modern life and now almost 90% of Britons own a handset.Cellnet and Vodafone were the only mobile phone operators in the UK until 1993 when One2One (now T-Mobile) was launched.Mobiles have become so popular that many people use their handset as their only phone and rarely use a landline.

For the first nine days of 1985 Vodafone was the only firm with a mobile network in the UK."
2113,"The new strains of the Cabir mobile phone virus use short-range radio technology to leap to any vulnerable phone as soon as it is in range.However, the new Cabir strains have this mistake corrected and will spread via short range Bluetooth technology to any vulnerable phone in range.Fast moving phone viruses appear

Security firms are warning about several mobile phone viruses that can spread much faster than similar bugs.

A mistake in the way the original Cabir was written meant that even if it escaped from the laboratory, the bug would only have been able to infect one phone at a time.

The Cabir virus only affects high-end handsets running the Symbian Series 60 phone operating system.Finnish security firm F-Secure issued a warning about the new strains of Cabir but said that the viruses do not do any damage to a phone.The risk of being infected by Cabir is low because users must give the malicious program permission to download on to their handset and then must manually install it."
2114,"The thrust of this year's show will be on technologies which put people in charge of multimedia content so they can store, listen to, and watch what they want on devices any time, anywhere.""It is about personalisation - taking your MP3 player and creating your own playlist, taking your digital video recorder and watch what you want to watch when - you are no longer at the whim of the broadcasters.""This year we will really begin to see that come to life in what we call place shifting - so if you have your PVR [personal video recorder] in your living room, you can move that content around the house.He said the products which will be making waves in the next year will be about the ""democratisation"" of content - devices and technologies that will give people the freedom to do more with music, video, and images.With more than 52% of US homes expected to have home networks, the CEA suggested hard drive boxes - or media servers - capable of storing thousands of images, video and audio files to be accessed through other devices around the home, will be more commonplace.The CEA predicted that there would be several key technology trends to watch in the coming year.Their popularity will be driven by more multimedia content and services which will let people watch and listen to films, TV, and audio wherever they are."
2115,"Research by technology firms Earthlink and Webroot revealed that 90% of Windows machine have the malicious software on board and, on average, each one harbours 28 separate spyware programs.Also being released is a software utility that will help users find and remove any spyware on their home computer.It said that its virus cleaning program would not stop machines being infected nor remove the need for other anti-virus programs.Last year Microsoft also released the SP2 upgrade for Windows XP that closed many security loopholes in the software and made it easier for people to manage their anti-virus and firewall programs.
The virus-fighting program will be updated monthly and is a precursor to Microsoft releasing dedicated anti-virus software.Microsoft debuts security tools

Microsoft is releasing tools that clean up PCs harbouring viruses and spyware.

On spyware freely available programs such as Ad-Aware and Spybot have become widely used by people keen to keep the latest variants at bay."
2116,"That file-sharing system relies on links called ""trackers"" that point users to others happy to share the file they are looking for.Legal attacks on websites that help people swap pirated films have forced the development of a system that could be harder to shut down.

In late December movie studios launched a legal campaign against websites that helped people swap pirated movies using the BitTorrent network.One of the sites shut down by the legal campaign was suprnova.org which helped boost the popularity of the BitTorrent system by checking that trackers led to the movies or TV programmes they claimed to.

This, said Sloncek, should make the system less vulnerable to legal action aimed at stopping people swapping pirated movies and music.Mr Pouwelse said that future versions of file-sharing systems are likely to incorporate some kind of distributed reputation system that lets moderators prove who they are to the network and rate which files are worth downloading.One site behind the success of the BitTorrent file-swapping system is producing its own software that avoids the pitfalls of the earlier program."
2117,"""Gaming companies really like to focus on creating a world which involves creating complicated 3D models and textures and increasing the resolution, increasing the frame rate - all of these are part of getting a more immersive experience.""""So by utilising blue laser-based technology we can make an optical laser disc that can hold six times as much as today's DVD.""""The technical requirement for game development today demands more advanced optical-disc technologies,"" said Michael Heilmann, chief technology officer for Vivendi Universal.Sony recently announced it would be using the technology in its next generation of PlayStations.Mr Doherty said gamers were ""ravenous"" for high-quality graphics and technology for the next generation of titles.Games win for Blu-ray DVD format

The next-generation DVD format Blu-ray is winning more supporters than its rival, according to its backers.

As games move to more photo-real capability, the current technology is limiting."
2118,"More power to the people says HP

The digital revolution is focused on letting people tell and share their own stories, according to Carly Fiorina, chief of technology giant Hewlett Packard.

Crucial to this has been the effort to make devices that speak to each other better so that content can be more easily transferred from one device, such as a digital camera, to others, such as portable media players.Coming out in the autumn in the US, the box is a networked, high-definition TV, cable set-top box, digital video recorder and DVD recorder.She said the goal for 2005 was to make people the centre of technology.Ms Fiorina's talk also touted the way technology is being designed to focus on lifestyle, fashion and personalisation, something she sees as key to what people want.

The service will let people listen to radio on their mobiles and download relevant content, like a track's ringtone, simultaneously.Ms Fiorina was one of several keynote speakers, who also included Microsoft chief Bill Gates, to set out what major technology companies think people will be doing with technologies and gadgets in the next 12 months."
2119,"Gadget market 'to grow in 2005'

The explosion in consumer technology is to continue into 2005, delegates at the world's largest gadget show, in Las Vegas, have been told.

The portable technologies on show also reflected one of the buzzwords of CES, which was the ""time and place shifting"" of multimedia content - being able to watch and listen to video and music anywhere, at any time.With so many devices on the move there were a lot of products on show offering external storage, like Seagate's 5GB pocket sized external hard drive, which won an innovation for engineering and design prize.Elsewhere at the show, there was a plethora of colour and plasma screens, including Samsung's 102-inch (2.6 metre) plasma - the largest in the world.Another disappointment was the lack of exposure Sony's new portable games device, the PSP, had at the show.That figure was surpassed with the rise in popularity of portable digital music players, personal video recorders and digital cameras.""

As well as the show floor showcasing everything from tiny wearable MP3 players to giant high-definition TVs, several keynote speeches were made by industry leaders, such as Microsoft chief Bill Gates."
2120,"The new computer shifts the company into new territory - traditionally, the firm is known as a design and innovation-led firm rather than as a mass-market manufacturer.The machine - which will be available from 22 January - was described by Jobs as ""BYODKM... bring your own display, keyboard, and mouse"".The new iPod shuffle comes in two versions - one offering 512mb of storage for $99 (Â£69 in the Uk) and a second with one gigabyte of storage for $149 (Â£99) - and went on sale Tuesday.Harris added: ""Everybody thought that Apple was happy to remain a niche maker of luxury computers, and moving into a market dominated by low margin manufacturers like Dell is a bold move.The new computer has been the subject of speculation for several weeks and while few people will be surprised by the announcement many analysts had already said it was a sensible move.The Mac mini comes without a monitor, keyboard and mouse, and a second version with a larger hard drive will also be sold for $599.

Mr Jobs also unveiled the iPod shuffle, a new music player using cheaper flash memory rather than hard drives, which are used in more expensive iPods.

"
2121,"Paying per track for music is becoming as outmoded as paying per minute for internet access and alternative monthly or yearly subscription models are springing up as a more convenient, and ultimately cheaper way of owning music.

""Who wants to download a track that won't play next month if you decide to unsubscribe to the service or change portable player for an iPod or the latest mobile phone?""""Music fans are moving away from buying the traditional bundled package of a dozen or more songs that we used to call an album to newer ways that fit their lifestyle; either single tracks or subscriptions services,"" said Paul Myers, chief executive of Wippit, a UK-based music download service.This has outraged some digital music lovers, especially as Napster already offers a cheaper service for downloading music to the PC.The technology ensures that music downloaded to the player only remains playable while the user subscribes to the service.""We've been offering our unlimited music subscription service for more than three years now and our customers know what they want.Wippit offers a download subscription service for Â£4.99 per month or Â£50 per year."
2122,"Once an attack is spotted dedicated net hardware takes over to remove the attack traffic and ensure that sites stay up.""It's about understanding what's genuine traffic and keeping attack traffic from going to the site,"" she said.""We study the profile of their traffic and as soon as we see an anomaly in the profile that's when we start to get the backbone engineering boys to see if we are going to sustain an attack,"" said Ms Capella.Often Pipex and other net suppliers do get advance notice that an attack is about to happen.Typically these computers have been infected by a virus or worm which reports its success and the net address of compromised machines back to the malicious hacker or hi-tech criminal that set off the virus.""The serious players tend to precede an attack with some kind of ransom e-mail,"" said Ms Capella.This traffic can be hard to spot because DDoS attacks typically use thousands of computers in many different countries, each participating machine only sends a small part of the entire data flood.

"
2123,"He said anyone wanting to use the Mac mini with the peripherals from an old computer may find it odd to have something so small and sleek next to a hulking monitor.Apple Mac mini gets warm welcome

The Mac mini has been welcomed by Apple fans, industry experts and PC users.

The Mac mini could find a role in homes that need a second computer that is easy to install and administer, he said.The release of the tiny, low-cost machine is seen as a good move for Apple which currently has a small share of the desktop computer market.""For consumers interested in style, design and small size - which is what the majority of iPod customers are interested in - it's a natural next step,"" said Mr Fogg.They speculate that the Mac mini will be bought by iPod owners and those wanting an easy-to-use and administer second home computer.

Apple has traditionally done well in the market that the Mac mini is aimed at, said Mr Fogg, who also expected many PC makers to release copycat devices in reaction.

"
2124,"""This machine is for small businesses and for people who want a second computer for basic home use, perhaps in a kids bedroom,"" a spokesman for Dell said.As Gavin Cox of the excellent buildyourown.org.uk website put it: ""It will be tough to obtain/build a PC to ever be as compact and charming as the Mac mini.""

""Performance-wise, it's not 'cutting edge' and is barely entry-level by today's market, but up against the Mac mini, I believe it will hold its own and even pull a few more tricks,"" says Gavin Cox.A surprisingly good PC sporting an AMD Athlon XP 2500 processor, 512 megabytes Ram, a graphics card with 128 Ram on board plus TV out, a 40 GB hard drive, CD-writer and DVD player, Windows XP Home.

Macs don't offer the upgrade flexibility of a PC and the machine's specifications lack the horse power for tasks such as high-end video editing or games.

For your money you get a 1.8GHz AMD Sempron processor, 512MB of Ram, 120GB hard drive, DVD writer, 16-inch monitor, mouse, keyboard and Windows XP2

Much more than the basics.The package of software that comes with the machine is the best money can buy.

Apple are targeting people who already have a main computer and want to upgrade - especially PC users who have used an Apple iPod.

"
2125,"ScanSoft and Gracenote are developing technology to give people access to their film and music libraries simply by voice control.Portable players are becoming popular in cars and a number of auto firms are working with Apple to device interfaces to control the firm's iPod music player.""Pairing our voice technologies with Gracenote's vast music database will bring the benefits of speech technologies to a host of consumer devices and enable people to access their media in ways they've never imagined.""They want to give people hands-free access to digital music and films in the car, or at home or on the move.The firms gave no indication about whether the iPod, or any other media player, were in mind for the use of the voice control technology.But with tens of thousands of songs able to be stored on one player, voice control would make finding that elusive track by Elvis Presley much easier.""Voice command-and-control unlocks the potential of devices that can store large digital music collections,"" said Ross Blanchard, vice president of business development for Gracenote."
2126,"The Department of Justice said that both men pleaded guilty to one count of conspiracy to commit felony copyright infringement.New Yorker William Trowbridge and Texan Michael Chicoine have pleaded guilty to charges that they infringed copyright by illegally sharing music, movies and software.During its investigation FBI agents reportedly downloaded 84 movies, 40 software programs, 13 games and 178 ""sound recordings"" from the five hubs that made up the larger piracy group.In a statement the US Department of Justice said the two men operated the central hubs in a piracy community organised across the Direct Connect peer-to-peer network.The piracy group called itself the Underground Network and membership of it demanded that users share between one and 100 gigabytes of files.They also pleaded guilty to acting for commercial advantage.Direct Connect allows users to set themselves up as central servers that act as co-ordinating spots for sharers."
2127,"By setting up the alliance to work on a common control system, the firms said they hope to end this current fragmentation of file formats.The firms want to make a system that ensures files play on the hardware they make but also thwarts illegal copying.Marlin will be built on technology from rights management firm Intertrust as well as an earlier DRM system developed by a group known as the Coral Consortium.

The firms hope that it will also make it harder for consumers to make illegal copies of the music, movies and other digital content they have bought.""The studios and labels perceive an opportunity to sell you your media again and again - the iPod version, the auto version, the American and UK version, the ringtone version, and so on.Currently many online stores wrap up downloadable files in an own-brand control system that means they can only be played on a small number of media players.""It always works out that consumer needs win out in the long run,"" she said, ""and the services that win in the long run are the ones that listen to consumers earliest."""
2128,"""

That visual channel is run from a computer within the radio station, and sends out different kinds of information to the handset depending on what you are listening to.As well as details on the track or artist of a particular song, there is also the ability to interact immediately with the radio station itself, in a similar way to digital television's ""red button"" content.

Finnish handset giant Nokia has been working on a technology called Visual Radio, which takes an existing FM signal from a radio station and enables that station to add enhancements such as information and pictures.""If you have a Visual Radio enabled handset, when you hear an artist you don't know, or there's a competition or vote that you'd like to participate in, you pull out your handset and with one click you turn on a visual channel parallel to the on-air broadcast you've just been listening to.Games, cameras and music players have all been added to our handsets in the last few years, but 2005 could see another big innovation that won't just see a change in our mobile phone habits - it might alter the way we listen to the radio.But the interactive aspect will make the service especially attractive to radio stations, who will be able to track the number of people taking part in such activities on a real-time basis.Mobiles get set for visual radio

"
2129,"But those in Europe may see little point in buying what is quite an expensive bit of technology - about Â£2,000 - if there are few programmes or films to watch on them.Until broadcast rights, format standards - and the practicalities of updating equipment - are agreed, TV content will be limited.Higher capacity storage discs, such as HD-DVD and blue-ray , are set to be standard in the next round of games consoles - allowing developers more room for detailed graphics.

It is called high-definition - HD for short - and it is already hugely popular in Japan and the US.""But we may see the cross-platform development of games becoming more common because they will more easily be able to take a PC game and apply it to a console,"" he says.""You are literally going to get to the point, with a Lord of the Rings game for example, is going to be closer and closer to the actual film, especially the CGI stuff from the DVD.""And the transition when they move from a cut scene to the game, just now they have almost got it seamless."""
2130,"The car engine is a case in point: lead additives helped stop petrol vapour exploding too early in the cylinder, a phenomenon called 'knocking', so they were simply used without any real thought for the fact that the lead would end up in the atmosphere.Chip giant Intel recently began shipping computer circuit boards that are lead free too, reflecting a growing awareness on the part of the technology industry that products have to be designed and built in more environmentally friendly ways.

They are all old enough to be hazardous waste - the monitors alone will be full of arsenic and lead - but it's possible that some of the components could be useful.I'd probably remember to take my old mobile with me to the supermarket and drop it in a box - at least eventually.

My first car ran on four star petrol and pumped vast quantities of lead into the atmosphere as I drove around Cambridge.We're seeing the same thing in the technology industry and, as a result, there are billions of devices, from old mobile phones to antique handhelds, that will have to be recycled in years to come.Here in Cambridge we have green bins for compostable waste, a box for glass, cans and paper that can be recycled, and a black bin for the rest."
2131,"It is also increasing efforts to squash software piracy in China, Norway and the Czech Republic, where pirated software is a huge problem, by offering discounts on legitimate software to users of pirated copies Windows.Microsoft's Windows operating system is heavily exploited by virus writers because it is so widespread and they are constantly seeking out new security loopholes to take advantage of.The company is trying to tackle security threats whilst cracking down on pirated software at the same time.People who try to manually download security patches will have to let Microsoft run an automated checking procedure on their computer or give an identification number.

Microsoft makes anti-piracy move

Microsoft says it is clamping down on people running pirated versions of its Windows operating system by restricting their access to security features.

Microsoft releases regular security updates to its software to protect PCs.""It sounds like their decision to allow critical security patches to remain available to both legitimate and illegitimate users of Windows is good news for everyone who uses the net,"" he said."
2132,"While short on detail, he painted a picture of a machine that would complement a PC and offer ""great video gaming but video gaming for a broader set of people, more communications, more media, more connectivity"".Many will be sceptical - gamers were given similar predictions during the last transition of console hardware - but this time it would seem to be more likely.""We want to increase that level of immersion and realism in gaming to people can lose themselves in a game.""""We know maybe what the PS3 will do, but we can only guess,"" said Rory Armes, studio general manager for video game giant Electronic Arts in Europe.Gary Dunn, development director at Codemasters, said the company had a central technology group which was at the forefront of preparing for the next generation of consoles.Sony is thought to have a similar vision for PS3 while Nintendo remain focused on a machine purely for games.

Gerhard Florin, head of EA in Europe, said gamers should expect titles that blur the line between films and video games."
2133,"Latest Opera browser gets vocal

Net browser Opera 8.0, due for official release at the end of next month, will be ""the most accessible browser on the market"", according to its authors.

""

Another feature likely to appeal to people with low vision is the ability to make pages fit to the screen width, which eliminates the need for horizontal scrolling.

But the browser does not yet work well with screen reader software often used by blind people, so its accessibility features are more likely to appeal to those with some residual vision.The latest version of the net browser can be controlled by voice command and will read pages aloud.Unlike commercially available voice recognition software, Opera does not have to be ""trained"" to recognise an individual voice.The company says that features like voice activation are not solely aimed at visually impaired people.Its browser is used by an estimated 10 million people on a variety of operating systems and a number of different platforms.
"
2134,"Even before Nokia's N-Gage game phone launched in late 2003, many mobile operators were realising that there was an audience looking for something to play on their handset.

That audience includes commuters wanting something to fill their time on the way home, game fans looking for a bit of variety and hard core gamers who like to play every moment they can.By sending a text message to a game maker you can have the title downloaded to your handset.The game lets you play via Bluetooth if others are in range.Rarely now does an action movie launch without a mobile game tie-in.Increasingly such launches are all part of the promotional campaign for a film, understandable when you realise that a good game can rack up millions of downloads.Some game makers are also starting to take advantage of the extra capabilities in a mobile."
2135,"But web surfers in Spain are logging in as well - about 25% of the web station's traffic comes from there.Millan and two friends set out to change that - they wanted to make groups like Los Caballeros de Plan G accessible to fans globally.

Web radio takes Spanish rap global

Spin the radio dial in the US and you are likely to find plenty of Spanish-language music.Millan says they want to include more music and more news from the world of Spanish language hip-hop and rap.

Hip-hop and rap are actually quite popular in the Spanish-speaking world, but local artists are having trouble marketing their work abroad.But most Mexican hip-hop fans, not to mention fans in most of the Spanish-speaking world, rarely get a chance to hear the group's tracks on the radio.

The name says it all: it is web-based radio, devoted to the hottest Spanish language rap and hip-hop tracks."
2136,"What high-definition will do to DVDs

First it was the humble home video, then it was the DVD, and now Hollywood is preparing for the next revolution in home entertainment - high-definition.

""In the future we are going to look towards file delivery over IP [internet protocol - broadband], giving a DVD-like experience from the set-top box to the hard drive,"" says Mr Dean.""There was a time not so long ago when the film world and the video world were two completely separate worlds,"" he told the BBC News website.

""That's a huge amount of compression that has to be applied - about 98%.""The film that we see in theatres is coming from the same digital file that we take the home video master,"" he says.But currently, putting a master feature film onto DVD requires severe compression because current DVD technology cannot hold as much as high-definition films demand.It will take time though to persuade people who spent money on DVD players to buy the different players and displays required to watch high-definition DVDs in 18 months' time."
2137,"Virus mail accounts for just over 15% of all e-mail traffic analysis by the firm has found.

While virus traffic has slowed down, denial of service attacks are on the increase according to the firm.The figures, from e-mail management firm Email Systems, will alarm firms attempting to cope with the amount of spam in their in-boxes.""Spammers seem to have adapted their output to reflect this, focussing instead on medically motivated and pornographic offers, presumably intentionally intended to coincide with what is traditionally considered to be the bleakest month in the calendar,"" he said.
""January is clearly a month when consumers are less motivated to purchase financial products or put money into dubious financial opportunities,"" said Neil Hammerton, managing director of Email Systems.Junk e-mails on relentless rise

Spam traffic is up by 40%, putting the total amount of e-mail that is junk up to an astonishing 90%.

Email Systems refers to a small UK-based engineering firm, which received a staggering 12 million e-mails in January."
2138,"Ms Sanders said DEC had contacted US net registrars who handle domain ownership and the net hosting firm that is keeping the site on the web.

DEC was going to push for all cash donated via the site to be handed over to the official organisation.The web address of the fake site is decuk.org which could be close enough to the official www.dec.org.uk address to confuse some people keen to donate.She said the spam e-mails directing people to the site started circulating two days ago shortly after the domain name of the site was registered.The site is just the latest in a long list of scams that try to cash in on the goodwill generated by the tsunami disaster.

Warning over tsunami aid website

Net users are being told to avoid a scam website that claims to collect cash on behalf of tsunami victims.

All attempts by the BBC News website to contact the people behind the site have failed.Anyone opening the attachment of the mail will have their contact list plundered by the worm keen to find new addresses to send itself to.
"
2139,"More women turn to net security

Older people and women are increasingly taking charge of protecting home computers against malicious net attacks, according to a two-year study.

But net service providers still need to take more responsibility in making sure people are educated about net threats before they go online, particuarly if they are new to broadband, he said.

The study, for net security firm Preventon, shows that security messages are reaching a diversity of surfers.The study predicts that 40% of all home PC net security buyers will be women in 2005.By the end of the year it is thought that more than 30% of UK homes will have broadband net access.It is thought that 40% of those buying home net security programs are retired.The research reflects the changing stereotype and demographics of web users, as well as growing awareness of the greater risks that high-speed broadband net connections can pose to surfers.

"
2140,"The handheld console will go on sale for $250 (Â£132) and the first million sold will come with Spider-Man 2 on UMD, the disc format for the machine.Sony has said it wanted to launch the PSP in Europe at roughly the same time as the US, but gamers will now fear that the launch has been put back.The console (12cm by 7.4cm) will play games, movies and music and also offers support for wireless gaming.""It has gaming at its core, but it's not a gaming device.Sony PSP console hits US in March

US gamers will be able to buy Sony's PlayStation Portable from 24 March, but there is no news of a Europe debut.

It launched its DS handheld in Japan and the US last year and has sold 2.8 million units.It's an entertainment device,"" said Kaz Hirai, president of Sony Computer Entertainment America.
"
2141,"In 2004 MSN introduced its own blog system and Yahoo has tweaked its technology to do a better job of handling blog entries.Jim Lanzone, vice president of search properties at Ask Jeeves in the US, said it did not acquire Bloglines just to get a foothold in the blog publishing world.The Bloglines site has become hugely popular as it gives users one place in which to read, search and share all the blogs they are interested in.Mr Lanzone said the acquisition would sit well with Ask's My Jeeves service which lets people customise their own web experience and build up a personal collection of useful links.Though Mr Lanzone added that Ask Jeeves would be helping organise the database of 300m blog entries Bloglines holds with its own net indexing technology.Bloglines has become popular because it lets users build a list of the blogs they want to follow without having to visit each journal site individually.Ask Jeeves joins web log market

Ask Jeeves has bought the Bloglines website to improve the way it handles content from web journals or blogs.

"
2142,"By creating a radically new architecture, and using that architecture in a games console that is sure to be a huge seller, they hope that the Cell processor can become the dominant technology in the living room, shutting out their rivals.Sony will be using the chip inside its PlayStation 3 console, and its dominance of the games market means that it now has a lot of power to dictate the future of computer and gaming platforms.Both companies believe that increasing the capabilities of games consoles, to make them as powerful as PCs, will make the technology accessible enough to persuade buyers to give them pride of place on the video rack.

The speed of computer memory has been slowly increasing over the last few years, but the memory technology that accompanies the Cell is a huge leap in performance.

If Cell succeeds in becoming the living room technology of choice, however, it could provide the jump-start to the fully digital home of the future.Traditional computers - whether they are household PCs or PlayStation 2s - use a single processor to carry out the calculations that run the computer.Intel will be furiously working on new designs that address the problems of its current chips to create a rival technology to Cell, so that it doesn't lose its desktop PC dominance."
2143,"PlayStation 3 processor unveiled

The Cell processor, which will drive Sony's PlayStation 3, will run 10-times faster than current PC chips, its designers have said.

""

While the PlayStation 3 is likely to be the first mass-market product to use Cell, the chip's designers have said the flexible architecture means that it would be useful for a wide range of applications, from servers to mobile phones.And while marketing speak describes the chip as a ""supercomputer"" - it remains significantly slower than the slowest computer on the list of the world's top 500 supercomputers.By comparison, rival chip maker Intel's fastest processor runs at 3.8 GHz.IBM has said it will sell a workstation with the chip starting later this year.

Sony, IBM and Toshiba, who have been working on the Cell processor for three years, unveiled the chip on Monday.The new processor is set to ignite a fresh battle between Intel and the Cell consortium over which processor sits at the centre of digital products."
2144,"He said that the survey also showed people would accept RFID if they felt that the technology could mean a reduction in car theft or faster recovery of stolen items.Ard Jan Vetham, Capgemini's principal consultant on RFID, said the survey showed that retailers needed to inform and educate people about RFID before it would become accepted technology.At least once consumer group - Consumers Against Supermarket Privacy Invasion and Numbering (Caspian) - has claimed that RFID chips could be used to secretly identify people and the things they are carrying or wearing.Some consumer groups have expressed concern that the tags could be used to monitor shoppers once they had left shops with their purchases.The tags are a combination of computer chip and antenna which can be read by a scanner - each item contains a unique identification number.

Consumer concern over RFID tags

Consumers are very concerned about the use of radio frequency ID (RFID) tags in shops, a survey says.

More than half of 2,000 people surveyed said they had privacy worries about the tags, which can be used to monitor stock on shelves or in warehouses."
2145,"""Mobile phone music services must not be positioned to compete with the PC music experience as the handsets are not yet ready,"" said Thomas Husson, mobile analyst at Jupiter research.The mobile industry is keen to get into music downloading, after the success of Apple's iTunes, Napster and other net music download services.

Other problems facing mobile music include limited storage on phones, compared to portable players which can hold up to 40GB of music.But, the Gartner report on mobile TV broadcasting in Europe suggests direct broadcasting will have to wait.Despite moves to bring music download services to mobiles, people do not want to trade multimedia services with size and battery life, said Jupiter.The service uses 3GP technology, one of the standards for mobile TV.Fifty percent of Europeans said the size of a mobile was the most important factor when it came to choosing their phone, but more power demands tend to mean larger handsets."
2146,"""For the sake of my own study - and for the sake of blind scientists generally - I felt it would be good to develop software that could help us to read colour images.""Blind student 'hears in colour'

A blind student has developed software that turns colours into musical notes so that he can read weather maps.

The colour to music software has not yet been made available commercially, and Mr Wong believes that several people would have to work together to make it viable.""

Mr Wong has been blind from the age of seven and he thinks that having a ""colour memory"" makes the software more useful than it would be to a scientist who had never had any vision.The software then assigns one of 88 piano notes to individually coloured pixels - ranging from blue at the lower end of this scale to red at the upper end.""As the notes increase in pitch I know the colour's getting redder and redder, and in my mind's eye a patch of red appears.""Mr Wong eventually hit upon the idea of translating individual colours into music, and enlisted the help of a computer graphics specialist and another student to do the programming work.

"
2147,"""If the court lets Apple get away with this, and exposes the confidences gained by these reporters, potential confidential sources will be deterred from providing information to the media and the public will lose a vital outlet for independent news, analysis and commentary,"" he said.Apple is particularly keen to find the source for information about an unreleased product code-named Asteroid and has asked the journalists' e-mail providers to hand over communications relevant to that.""Rather than confronting the issue of reporter's privilege head-on, Apple is going to the journalist's ISPs for his e-mails,"" said EFF lawyer Kurt Opsahl.The EFF has gained some powerful allies in its legal battle with Apple, including Professor Tom Goldstein, former dean of the Journalism School at the University of California and Dan Gillmor, a well-known Silicon Valley journalist.As well as looking at how far corporations can go in preventing information from being published, the case will also examine whether online journalists have the same privileges and protections as those writing for newspapers and magazines.The case began in December 2004 when Apple asked a local Californian court to get the journalists to reveal their sources for articles published on websites AppleInsider.com and PowerPage.org.

Apple also sent requested information from the Nfox.com, the internet service provider of PowerPage's publisher Jason O-Grady."
