,LexRank_algorithm summary
1695,"Dawson wins England squad recall

Wasps scrum-half Matt Dawson has been recalled to England's training squad ahead of the RBS Six Nations and been reinstated in the Elite Player Squad.

The players in Robinson's elite squad can only play 32 matches for club and country.Balshaw, Cohen, Cueto, Lewsey, Robinson, Simpson-Daniel, Voyce, Abbott, Noon, Paul, Smith, Tait, Tindall, Barkley, Hodgson, King, Wilkinson, Dawson, Ellis, Gomarsall.

Prop Phil Vickery and lock Simon Shaw both return to the squad after missing the autumn Tests through injury, while Wasps wing Tom Voyce is recalled.The group also includes Bath flanker Andy Beattie and Leicester hooker George Chuter.Abbott, Balshaw, Borthwick, A Brown, Chuter, Cohen, Corry, Cueto, Dawson, Ellis, Flatman, Gomarsall, Greening, Greenwood, Grewcock, Hazell, Hill, Hodgson, Kay, King, Lewsey, Moody, Noon, Paul, Robinson, Rowntree, Shaw, Simpson-Daniel, Thompson, Tindall, Titterrell, Vickery, Vyvyan, White, Wilkinson, J Worsley, M Worsley.

Newcastle's 18-year-old centre Mathew Tait is also in the training squad."
1696,"Ulster had led 20-6 with tries from Paul Steinmetz and Bryn Cunningham.Larkin again added the extras.Cunningham, Maxwell, Bell, Steinmetz, Howe, Larkin, Campbell, S. Best, Shields, Moore, Frost, McCullough, Ward, Feather, N. Best.

Ulster coach mark McCall said he was delighted to get the victory.A late try by Borders substitute Jonny Weston had set up a dramatic finish, but the Scottish side could not complete the fightback.Even worse was to come for Borders when Larkin kicked two more penalties just before the break, the second of which also led to Kelly Brown being sin-binned.Borders had edged ahead with a sixth-minute penalty by Charlie Hore - only to hand the visitors the initiative via a gift try."
1697,"But Woodward added: ""The key thing that I want to stress is that I intend to use the Six Nations and the players who are available to international rugby as the key benchmark.""I think it's absolutely critical and with the history of the Lions we have got to take players playing for the four countries.""Lions blow to World Cup stars

British and Irish Lions coach Clive Woodward says he is unlikely to select any players not involved in next year's RBS Six Nations Championship.

""Every player has to be looked at on their own merits and Simon Taylor is an outstanding player and I have no doubts that if he gets back to full fitness he will be on the trip.""I don't think you can ever say never,"" said Woodward.""But I would have to have a compulsive reason to pick any player who is not available to international rugby.""Woodward also revealed that the race for the captaincy was still wide open."
1698,"Campbell to be Lions consultant

Former government communications chief Alastair Campbell will act as a media consultant to Sir Clive Woodward's 2005 Lions on their tour to New Zealand.

Campbell, who left Downing Street earlier this year, will advise on media strategy before and during the tour.""[Alastair] will act as an advisor both in the build up to and on the tour itself.""The Lions is a massive media event,"" said Woodward, who will be the head coach.""I hope I can contribute to the planning and preparation, and to ensuring the media and public get the most out of the tour itself,"" he said.""There will be a huge level of interest from the travelling media, the fans that will go out in their thousands and the New Zealand public.The furore surrounding the newspaper diaries of Matt Dawson and Austin Healey was compounded by other disillusioned players venting their frustration through the media."
1699,"But Woodward added: ""The key thing that I want to stress is that I intend to use the Six Nations and the players who are available to international rugby as the key benchmark.""I think it's absolutely critical and with the history of the Lions we have got to take players playing for the four countries.""""Every player has to be looked at on their own merits and Simon Taylor is an outstanding player and I have no doubts that if he gets back to full fitness he will be on the trip.Lions blow to World Cup winners

British and Irish Lions coach Clive Woodward says he is unlikely to select any players not involved in next year's RBS Six Nations Championship.

""I don't think you can ever say never,"" said Woodward.""But I would have to have a compulsive reason to pick any player who is not available to international rugby.""Woodward also revealed that the race for the captaincy was still wide open."
1700,"Wilkinson fit to face Edinburgh

England captain Jonny Wilkinson will make his long-awaited return from injury against Edinburgh on Saturday.

And the 25-year-old fly-half will start Saturday's Heineken Cup match at Murrayfield on the bench.Wilkinson's year has been disrupted by injury as his muscle problem followed eight months on the sidelines with a shoulder injury sustained in the World Cup final.
But Newcastle director of rugby Rob Andrew said: ""He's fine and we hope to get him into the game at some stage.""Sale's Charlie Hodgson took over the number 10 shirt in the internationals against Canada, South Africa and Australia.Wilkinson, who has not played since injuring his bicep on 17 October, took part in full-contact training with Newcastle Falcons on Wednesday.The 25-year-old missed England's autumn internationals after aggravating the haematoma in his upper right arm against Saracens."
1701,"Dallaglio eyeing Lions tour place

Former England captain Lawrence Dallaglio still harbours hopes of a place on the British and Irish Lions tour to New Zealand.

If he does, then he won't need to look too far, will he?""
""If I'm fit and playing well, then I'm most certainly available.He said: ""I'll be in good shape and fresh without another 10 Tests on the clock.""I know what it takes and what I have to offer,"" he told the Daily Telegraph.""If Clive feels he has no need to look outside the international crop, then fine.The 32-year-old also felt concentrating on club rugby could have prolonged his international shelf-life."
1702,"""I know within myself, if I was given the chance I could play for England again.Dawson played a vital part in England's World Cup win last year but has fallen out of favour with new coach Andy Robinson after missing a training session in September.Dawson set for new Wasps contract

European champions Wasps are set to offer Matt Dawson a new deal.

""
""I know I'm fit enough, I'm strong enough, I'm skilful enough.""I'm very happy with his contribution and I think he's good enough to play for another couple of years.""Wasps coach Warren Gatland told the Daily Mirror: ""We have not yet offered Matt a new contract but we will be doing so."
1703,"Healey, who has also played both half-back positions and full-back during his career, has reverted to the wing, where he won most of his England caps.but Wasps really came back into it and in the last couple of minutes it could have gone either way.Then, in the first of their Heineken cup double header last Sunday, Healey slotted in at stand-off and delivered a superb cross-kick for Martin Corry to score the Tigers' third try.Healey targets England comeback

Leicester wing Austin Healey hopes to use Sunday's return Heineken Cup clash with Wasps as a further springboard to an England recall for the Six Nations.

Healey, twice a Heineken Cup winner, believes last Sunday's match was ""up there"" with some of the biggest club contests he has played in.""I definitely still have ambitions to play for England,"" Healey told the BBC.That has been apparent in parts one and two of the Wasps-Leicester trilogy in recent weeks."
1704,"Scrum-half Williams rejoins Bath

Bath have signed their former scrum-half Andy Williams on a short-term deal from the Neath-Swansea Ospreys.

Bath director of rugby Jack Rowell, though, believes Williams fits the bill perfectly.Wales international Williams, whose contract with the Welsh region was due to expire in June, has agreed a contract until the end of the season.With Martyn Wood's injury likely to keep him out until February, Bath need experienced back-up to Nick Walshe.""
He lost his Ospreys starting place to New Zealander Jason Spice and has fallen further behind in the pecking order.""We are delighted to be able to welcome him back to the club."
1705,"Tindall is out of contract at the end of the season but it is understood that Brownsword is unwilling to break the club's salary structure to accommodate the 26-year-old's demands.Dipo Alli says he has received an offer for Tindall which dwarfs Bath's deal and that two other clubs want to talk.Bath faced with Tindall ultimatum

Mike Tindall's agent has warned Bath they have until next week to improve their contract offer to the England man or risk losing him to a rival club.

""Mike has been at Bath for eight years and wants to remain with the club and his demands are anything but excessive,"" the agent added.""It is up to (Bath owner)""
He has to make it happen."""
1706,"Tindall wants second opinion

England centre Mike Tindall is to seek a second opinion before having surgery on a foot injury that could force him to miss the entire Six Nations.

He will also aim to be back to full fitness before the Lions tour to New Zealand this summer.
The Bath player was already out of the opener against Wales on 5 February because of a hand problem.medical teams have decided he should see a second specialist.Robinson is expected to announce his new-look England line-up on Monday for the match at the Millennium Stadium.Meanwhile, Tindall is targeting a return to action before the end of the regular Zurich Premiership season on 30 April.And Newcastle's 18-year-old centre Mathew Tait is set to stand in for Tindall alongside club team-mate Jamie Noon.

"
1707,"Those are the two questions occupying not just Wales supporters but rugby fans as a whole after a scintillating display in Paris.Welsh legend Mervyn Davies, a member of two of three Grand Slam-winning sides of the 1970s, hailed it as ""one of the great performances of the past three decades"".In international rugby, any of the top seven sides can beat each other on a given day, but the great sides are those that win the close contests on a consistent basis.So on to Murrayfield, where Wales have not won on their last three visits.""The confidence in the squad has been building and building since the World Cup and we now have young players who are becoming world class,"" noted coach Mike Ruddock.A crestfallen France coach, Bernard Laporte, simply observed: ""There was a French half and there was a Welsh half"".But while that passage of play showed the swelling self-belief of a side prepared to back its own spirit of adventure, the final quarter told us a whole lot more about this Welsh side."
1708,"Scotland secured their first win of the campaign on Saturday by grinding out an 18-10 win over Italy.

""We've come unstuck there a couple of times recently so our focus is on that game and we'll worry about Ireland hopefully after we've beaten Scotland.""Matt Williams' side has shown little in attack, but Johnson insisted the Scots will be difficult opposition to break down.""Italy are really brave opposition and sometimes it's very hard to win,"" he said.Kevin Morgan is probably favourite to replace Thomas at full-back, leaving Williams and Hal Luscombe to battle for the right wing berth.""We're not basking in the glory of winning our first three games.""
"
1709,"""The way he's looking at it is that if he can extend his career by a couple of years by not playing international rugby, then he's willing to do that.""

The 27-year-old, who captained St Helens to Challenge Cup success last year, said following in the footsteps of Farrell would be a challenge.But you want the best players in your team, and he's certainly one of the best players in the world.Sculthorpe also called on the rugby league authorities to have a serious look at the number of games the top players are being asked to play.Sculthorpe wants Lions captaincy

Paul Sculthorpe has admitted he would love to succeed Andy Farrell as Great Britain skipper if the Wigan star does switch codes to rugby union.

Sean Long, Sculthorpe's Saints and Lions team-mate, has expressed doubts about his international future ""I think Sean's situation is to do with the sheer number of games we're playing,"" he said.

""

Sculthorpe said the rugby league world would understand if Farrell did decide to move to rugby union."
1710,"Tigers wary of Farrell 'gamble'

Leicester say they will not be rushed into making a bid for Andy Farrell should the Great Britain rugby league captain decide to switch codes.

""I'm sure he could make the step between league and union by being involved in the centre,"" said Wells.""
""The jury is out on whether he can cross that divide.If he does move across to union, Wells believes he would better off playing in the backs, at least initially.""Whoever does take him on is going to take a big, big gamble.""Farrell, who has had persistent knee problems, had an operation on his knee five weeks ago and is expected to be out for another three months."
1711,"""

Although the move would be a lucrative one for both Farrell and Wigan, Lindsay said money was not a motivating factor for the club.Farrell saga to drag on - Lindsay

Wigan chairman Maurice Lindsay says he does not expect a quick solution to the on-going saga of captain Andy Farrell's possible switch to rugby union.

""

Lindsay also said he understood why rugby union was so interested in signing up Farrell.""The money side of things hasn't been concluded, but it's not the point for Wigan,"" he told Radio Five Live.Leicester and Saracens are leading the chase for the player, but Lindsay told the BBC it was not yet a done deal.""As well as the Rugby Football Union, the league, the individual club and the England coaching team have a say, so it's not a quick decision,"" he said.""This guy is an absolute sporting icon."
1712,"England given tough Sevens draw

England will have to negotiate their way through a tough draw if they are to win the Rugby World Cup Sevens in Hong Kong next month.

The top two sides in each pool qualify but England could face 2001 winners New Zealand in the quarter-finals if they stumble against Samoa.However, they beat Samoa in the recent Los Angeles Sevens before losing to Argentina in the semi-finals.Scotland and Ireland are in Pool A together with the All Blacks.""England have a fantastic record in Hong Kong and have won there the last three years, but the World Cup is on a different level.England won the first Rugby World Cup Sevens in 1993 with a side that included the likes of Lawrence Dallaglio and Matt Dawson.The second seeds have been drawn against Samoa, France, Italy, Georgia and Chinese Taipei."
1713,"And, thanks to Henson, Wales did.
He also had a hand in the game's only try, finished superbly by Williams, and might have scored himself on the half-hour as he glided into space, only to be scragged by Tait.Wales hails new superstar

One game into his Six Nations career, and Gavin Henson is already a Welsh legend.

His kicking game also prospered, particularly when he moved to full-back for 10 minutes either side of half-time when his captain Gareth Thomas was in the sin-bin.Without further ado, he nervelessly slotted the kick that ended five years of English dominance and 12 years of waiting in Cardiff.Henson was twice repelled as Wales laid siege to the English line after Charlie Hodgson's penalty had edged the visitors in front for the first time.so it wasn't a problem."""
1714,"Sydney to host north v south game

Sydney will host a northern versus southern hemisphere charity match in June or July, the Australian Rugby Union (ARU) said on Wednesday.

""We still need to discuss the options with the IRB (International Rugby Board), the Lions and our SANZAR (South Africa, New Zealand and Australia Rugby) partners, but June or July is seen as a better option than March to ensure we have the cream of southern hemisphere rugby available,"" he said.""The Australian Rugby Union has thrown its support behind a proposed North-South match to raise funds for the tsunami appeals,"" the ARU said.ARU chief executive Gary Flowers said the world cricket charity match in Melbourne earlier this month had inspired the ARU.Coach Clive Woodward's Lions squad will tour New Zealand in June and July, including Tests on 25 June, 2 and 9 July.

Wallabies captain George Gregan said the charity match was a ""great initiative"".Almost 80,000 fans packed into Melbourne Cricket Ground on 10 January for a charity match that raised Â£5.9m for victims of the Asian tsunami.
"
1715,"Celts savour Grand Slam prospect

The Six Nations has heralded a new order in northern hemisphere rugby this year and Wales and Ireland rather than traditional big guns France and England face a potential Grand Slam play-off in three weeks' time.

And they won only two games, against Scotland and Italy, in 2004.But they have not won the title since 1985 and last clinched a Grand Slam in 1948.The same year that England ruled the roost, a woeful Wales lost all five matches in the Six Nations.The men from the Emerald Isle have been Six Nations runners-up for the past two years, to France and England.

After several false dawns, coach Mike Ruddock may have come up with the team and philosophy to match expectations.No-one knows what mood France will be in at Lansdowne Road on 12 March - sublime, as in the first half against Wales, or ridiculous, like in the same period against England at Twickenham."
1716,"Lewsey claims he touched it down and was in full control.Two outstanding pieces of defensive play denied England and allowed Ireland to hold on.Ireland win eclipses refereeing 'errors'

The International Rugby Board may have to step in to stop frustrated coaches and players from publicly haranguing referees when things go belly-up.

It may be tries that win games, but it is defence that wins championships.
As far as England were concerned, there were queries over Mark Cueto's first half-effort when he went over in the corner from a Charlie Hodgson kick.

Referee Jonathan Kaplan was not perfect by any means and two decisions in particular made him the villain of the piece.And Ronan O'Gara's tremendous ability to control the game was also a crucial component."
1717,"O'Gara missed a penalty which would have put Ireland nine points clear, and the home crowd breathed a sigh of relief when Hodgson's cross-kick was fumbled by lock Ben Kay near the line.Ireland 19-13 England

Ireland consigned England to their third straight Six Nations defeat with a stirring victory at Lansdowne Road.

England's pressure continued, and a wave of attacks saw centre Jamie Noon dragged down yards from the line before Hodgson landed a drop-goal.

England began the second half well and had Ireland pinned in their own half.Ireland next face France at Lansdowne Road in two weeks' time before the potential title decider against Wales in Cardiff.From the line-out, the ball was recycled back to O'Gara, who stroked his second drop-goal, this time off the right upright.England scored first through Martin Corry but had ""tries"" from Mark Cueto and Josh Lewsey disallowed."
1718,"Fuming Robinson blasts officials

England coach Andy Robinson said he was ""livid"" after his side were denied two tries in Sunday's 19-13 Six Nations loss to Ireland in Dublin.

""I think Mark Cueto scored a perfectly legal try and I think he should have gone to the video referee on Josh Lewsey,"" said Robinson.South African referee Jonathan Kaplan ruled that Cueto was ahead of Charlie Hodgson when the fly-half hoisted his cross-field kick for the Sale wing to gather.

Kaplan then declined the chance to consult the fourth official when Josh Lewsey took the ball over the Irish line under a pile of bodies for what could have been the game-winning try.They defended magnificently and they've got every chance of winning this Six Nations.""""[I'm] absolutely spitting.I don't know why we didn't."""
1719,"Paterson slotted four more second-half penalties and Scotland were denied a try when wing Sean Lamont's touchdown was ruled out for a forward pass.And Scotland capitalised with a third Paterson penalty on 50 minutes.Scotland 18-10 Italy

Six Chris Paterson penalties gave Scotland victory in a dour but clinical encounter against Italy at Murrayfield.

A series of drives into Scottish territory set up a penalty attempt, missed by full-back Roland De Marigny, and a wayward drop-goal effort from Luciano Orquera.Italy were offered another penalty when Scottish flanker Simon Taylor was offside but the left-footed De Marigny pushed his kick wide.Scotland defended the initial thrusts but on 20 minutes Italy, after coming up yards short of the line, equalised through a De Marigny penalty.Scotland came out on top of the early exchanges and took a quick 3-0 lead through the boot of full-back Paterson."
1720,"""Scotland played extremely well against France in Paris but not so well when Ireland came to Edinburgh,"" said Bortolami.""As a nation, our quest is to be respected as a team worthy of a place in this tournament and we can only do this by winning games.""
With both sides looking for their first win of the championship, the third-round game at Murrayfield has been billed as a wooden-spoon decider.Italy have only recorded three wins since they joined the Six Nations in 2000, but two of those have come against Scotland.However, they were thoroughly outplayed by an impressive Welsh side in Rome last time out.Bortolami predicts dour contest

Italy skipper Marco Bortolami believes Saturday's Six Nations contest against Scotland will be a scrappy encounter.

Now the Italians travel to Edinburgh hoping to claim their first away win in the Six Nations."
1721,"No Ireland team lining up to play England will ever fall into that trap,"" he said.""I came on as a replacement and we were losing 13-6, and ended up getting hammered 42-6, so I know what can happen when England come to Dublin.He added: ""The only thing that annoys me after reading some reports is what the opposition locks think.I remember that game all too well, and it was not a good feeling.O'Connell, who made a try-scoring international debut against Wales two years ago, is enjoying his meteoric rise into rugby's shop window - but refuses to be drawn on the Lions.

That's the one thing that makes me cringe.""O'Connell rejects Lions rumours

Ireland and Munster lock Paul O'Connell has dismissed media reports linking him to the captaincy of the Lions tour to New Zealand this summer.

"
1722,"Taylor poised for Scotland return

Simon Taylor has been named in the Scotland squad for Saturday's Six Nations clash with Italy.

Both Scotland and Italy have lost their opening two Six Nations games and, just like last season's encounter which Italy won, this weekend's game could turn out to be a battle to avoid the wooden spoon.

- M Blair (Edinburgh), A Craig (Glasgow), C Cusiter (Borders), S Danielli (Borders), M Di Rollo (Edinburgh), A Henderson (Glasgow), B Hinshelwood (Worcester), R Lamont (Glasgow), S Lamont (Glasgow), D Parks (Glasgow), C Paterson (Edinburgh), G Ross (Leeds), H Southwell (Edinburgh), S Webster (Edinburgh)

- R Beattie (Northampton), G Bulloch (Glasgow, capt), B Douglas (Borders), J Dunbar (Leeds), I Fullarton (Saracens), S Grimes (Newcastle), N Hines (Edinburgh), A Hogg (Edinburgh), G Kerr (Leeds), N Lloyd (Saracens), S Murray (Edinburgh), J Petrie (Glasgow), R Russell (London Irish), C Smith (Edinburgh), T Smith (Northampton), S Taylor (Edinburgh), J White (Sale).
Taylor has turned out for English side Saracens in recent weeks during a short-term loan to improve his fitness.

Edinburgh were not in action during the first two weeks of this season's Six Nations.""He brings a whole new dimension to us, especially in defence and his ability to slow the opposition ball down could be key against Italy if he is involved.""Scotland coach Matt Williams is due to name his match-day 22 on Thursday.So Taylor played the last 20 minutes of Saracens' win over Northampton and then 40 minutes in a friendly against South African Super 12 side The Cats."
1723,"Gloucester director of rugby Nigel Melville said: ""Phil has broken his radius, which is the large bone in his forearm.Vickery upbeat about arm injury

England prop Phil Vickery is staying positive despite a broken arm ruling him out of the RBS Six Nations.

""I don't really know how it happened, but Phil will definitely be out of action for at least six weeks.He said: ""This isn't an injury that will stop me from working hard on the fitness elements and being around the lads.""He added: ""I've got the operation this afternoon and I could be back doing fitness work after a week.""""
""I feel very sorry for him, as he has been in great shape."
1724,"Dominici backs lacklustre France

Wing Christophe Dominici says France can claim another Six Nations Grand Slam despite two lacklustre wins so far against Scotland and England.

""The English played better than us but lost, whereas we are still in the race for the Grand Slam,"" said Dominici.France coach Bernard Laporte will announce his starting line-up next Tuesday for the match against Wales.

""We know our display was not perfect, but we can still win the Grand Slam, along with Ireland and Wales.""Inspirational flanker Serge Betsen is a doubt with a thigh injury, but number eight Imanol Harinordoquy has shaken off his shoulder injury.Wing Jimmy Marlu is definitely out with the knee injury sustained at Twickenham, which is likely to sideline him for the rest of the tournament.France take on Wales at the Stade de France on 26 February and Ireland in Dublin on 12 March."
1725,"""I don't know what I'll do next year, whether to carry on playing or make a change in my career,"" Llewellyn said.""I was going to retire at the end of the last Six Nations, I'd even told some of the boys in the squad about it.Llewellyn plans Wales retirement

Wales record cap holder Gareth Llewellyn will retire from Test rugby at the end of the Six Nations.

""We've had some really tough years in Wales and the players have been through a hell of a lot.""But Mike (Ruddock) asked me to carry on for another season, which I've done, still part of the squad, still trying to help them out as much as I can.""Llewellyn captained Neath for seven seasons, while being an integral part of the Neath-Swansea Ospreys regional side's first season.Llewellyn made his Wales debut in 1989 against New Zealand as a 20-year-old, having caught the selectors' eyes in the All Blacks' tour match against Neath."
1726,"England 17-18 France

England suffered an eighth defeat in 11 Tests as scrum-half Dimitri Yachvili booted France to victory at Twickenham.

But Charlie Hodgson and Barkley missed six penalties between them, while Yachvili landed six for France to put the visitors in front.England sent on Ben Cohen and Matt Dawson, and after Barkley's kick saw Christophe Dominici take the ball over his own line, the stage was set for a victory platform.England could have won the game with three minutes left, but Hodgson pushed an easy drop goal opportunity wide.And after seeing another attempt drop just short, Yachvili put France ahead with his sixth penalty with 11 minutes left.

But a probing kick from France centre Damien Traille saw Mark Cueto penalised for holding on to the ball in the tackle, Yachvili giving France the lead with a kick from wide out.

After a dire opening to the second half, France threw on three forward replacements in an attempt to rectify the situation, wing Jimmy Marlu having already departed injured."
1727,"""You need that mental toughness as well to put the ball over, but great goal-kickers like Jonny Wilkinson come along very rarely.""They've probably got two of the best English kickers in the Premiership in Hodgson and Barkley,"" added Andrew, a former England fly-half and goal-kicker.

Meanwhile, former England full-back Dusty Hare put England's mistakes down to a lack of mental toughness.

Andrew also blamed England's poor run of recent results on a lack of leadership in the side following several high-profile retirements and injuries.Goal-kickers Charlie Hodgson and Olly Barkley missed six penalty attempts and a drop-goal between them.""Jonny Wilkinson has proved himself a cool customer with around an 80% kicking success rate,"" Hare told BBC Radio Five Live.Wilkinson - who had targeted the 27 February match for his international comeback - has been missed by England, not least for his goal-kicking."
1728,"Wales twice threatened further scores but failed to find the crucial pass, and Italy hit back out of the blue in the 11th minute.

Luciano Orquera did reply with one for Italy but second-half efforts from Brent Cockbain, Shane Williams and Robert Sidoli sealed victory.G Thomas (capt); H Luscombe, T Shanklin, G Henson, S Williams; S Jones, D Peel; G Jenkins, M Davies, A Jones; B Cockbain, R Sidoli; J Thomas, M Williams, M Owen.

Fly-half Stephen Jones added four conversions as Wales maintained their superb start to this year's tournament.Tries from Jonathan Thomas, Tom Shanklin and Martyn Williams gave the visitors a 19-5 half-time advantage.R de Marigny; Mirco Bergamasco, W Pozzebon, A Masi, L Nitoglia; L Orquera, A Troncon; A Lo Cicero, F Ongaro, M Castrogiovanni, S Dellape, M Bortolami (capt), A Persico, Mauro Bergamasco, S Parisse.

But a clever high kick from Henson almost brought a try for Hal Luscombe when Roland de Marigny and Ludovico Nitoglia made a hash of claiming it as the ball bounced into touch.

"
1729,"Maggs, who will win his 67th cap, was the obvious replacement at centre while Shane Horgan was always likely to be moved from the wing.D'Arcy injury adds to Ireland woe

Gordon D'Arcy has been ruled out of the Ireland team for Saturday's Six Nations clash against Scotland in Murrayfield.

Girvan Dempsey comes into the team to take the right wing spot while Gavin Duffy is called up to the replacements.O'Connor will be winning his third cap after making his debut in the victory over South Africa last November.

:He should be fine for the next game but we do not want to tempt fate.''

''In terms of the risk element, it was a sensible precaution.The side will now be led by Munster lock Paul O'Connell."
1730,"His replacement will be named after training on Friday morning.O'Driscoll was originally named in the starting line-up but has failed to recover from the hamstring injury he picked up in the win over Italy.O'Driscoll out of Scotland game

Ireland captain Brian O'Driscoll has been ruled out of Saturday's RBS Six Nations clash against Scotland.

The only other change to the Ireland side sees Wasps flanker Johnny O'Connor replacing Denis Leamy.O'Connor will be winning his third cap after making his debut in the victory over South Africa last November.

:Murphy, Horgan, TBC, D'Arcy, Hickie, O'Gara, Stringer, Corrigan, Byrne, Hayes, O'Kelly, O'Connell, S Easterby, O'Connor, Foley.

: Sheahan, Horan, O'Callaghan, Miller, G Easterby, Humphreys, Dempsey.
Fellow centre Gordon D'Arcy is also struggling with a hamstring injury and he will undergo a fitness test on Friday to see if he can play.

"
1731,"Tindall aiming to earn Lions spot

Bath and England centre Mike Tindall believes he can make this summer's Lions tour, despite missing most of the season through injury.

""I've spoken to Sir Clive Woodward and he understands the situation, so I just hope that I can get on the tour.""The World Cup winner has been out of action since December, having damaged both his shoulder and his foot.The 26-year-old will face stiff competition for those centre places from Brian O'Driscoll, Gordon D'Arcy and Gavin Henson, and is aware that competition is intense.

But Tindall, who recently signed for Bath's west-country rivals Gloucester, told Rugby Special he would be fit in time for the tour to New Zealand.""I'm quite laid back about it to be honest - it's quite hard for me to expect to be pushing for a Test spot,"" he said.For the full interview with Mike Tindall tune into this Sunday's Rugby Special, 2340 on BBC Two
"
1732,"O'Connor aims to grab opportunity

Johnny O'Connor is determined to make a big impression when he makes his RBS Six Nations debut for Ireland against Scotland on Saturday.

""Obviously the breakdown a big part of what I do on the pitchAnd his reputation as a breakdown scavenger and heavy hitter has seen him come to the forefront of O'Sullivan's mind for the Scottish tussle.O'Connor added: ""It will be interesting to see how situations on the deck is reffed, with the new laws having come in.

""There's a lot of competition here and I can't just drag my heels around if I don't get picked.""The Wasps flanker replaces Denis Leamy but O'Connor knows that the Munster man will be pushing hard for a recall for the following game against England.""It's a good situation to be in if there are good players around you, pushing for a place in the side."""
1733,"Rusedski had match point at 6-5 in the second set tie-break after Henman double-faulted, but missed his chance and Henman rallied to clinch the set.Rusedski won his service game but Henman took the first of his three match points with a service winner to secure his place in the second round at Dubai for the first time in three years.Henman overcomes rival Rusedski

Tim Henman saved a match point before fighting back to defeat British rival Greg Rusedski 4-6 7-6 (8-6) 6-4 at the Dubai Tennis Championships on Tuesday.

It was the first match between the pair for three years - Henman last lost to Rusedski six years ago - and lasted two hours and 40 minutes.Serve was held by both players with few alarms until the seventh game of the final set, when Rusedski's wild volley gave Henman a vital break.""
World number 46 Rusedski broke in the ninth game to take a tight opening set."
1734,"The German got on top in the first-set tie-break, striking a sweet forehand to win the first point against serve.Playing his first match since winning the Australian Open, Safin showed some good touches but was beaten 7-6 (7-2) 6-4 by the in-form Kiefer.Safin slumps to shock Dubai loss

Marat Safin suffered a shock loss to unseeded Nicolas Kiefer in round one of the Dubai Tennis Championships.

Former champion Fabrice Santoro of France was beaten 6-3 6-0 by sixth seeded Russian Nikolay Davydenko.There were also wins for two other Russians, Igor Andreev and seventh seed Mikhail Youzhny.
Lopez, who lost in three sets to Roger Federer in last year's final, won 6-2 3-6 6-3.Spain's Feliciano Lopez lined up a second round clash with Andre Agassi by beating Thailand's Paradorn Srichaphan."
1735,"Ferrero eyes return to top form

Former world number one Juan Carlos Ferrero insists he can get back to his best despite a tough start to 2005.

""Physically I am 100% since December of last year,"" said Ferrero.""It was difficult because I had been playing well for the whole year and the coaches told me that I would play,"" said Ferrero.""In the past when I was a top seed I would have played a match like that in the quarters or semi-finals.""When I started to come back I had my rib broken when I fell on court and that was another two months out.""It was difficult for me not to be in the Friday matches but I had to understand.""This is the big difference but I have to do it to get higher in the rankings."""
1736,"Roddick into San Jose final

Andy Roddick will play Cyril Saulnier in the final of the SAP Open in San Jose on Sunday.

""Sometimes I didn't believe I could get to a finalThe American top seed and defending champion overcame Germany's Tommy Haas, the third seed, 7-6 (7-3) 6-3.""

Roddick won the last four points of the first-set tie-break before being broken at the start of the second set.The Frenchman twisted his ankle early in the second set but overcame Melzer, who was left fuming over a series of line calls, 6-7 (3-7) 6-3 6-3.I'll keep fighting and work a lot and I'll be up there.""I thought tonight was another step in the right direction."
1737,"The match was a re-run of last week's final at the World Indoor Tournament in Rotterdam, where Federer triumphed, but not until Ljubicic had stretched him for five sets.""I really wanted to get off to a good start this time, and I did, and I could really play with confidence while he still looking for his rhythm,"" Federer said.

""I had a chance in the third, and for me it's really positive to twice in two weeks have a chance against Roger to win the match.Federer claims Dubai crown

World number one Roger Federer added the Dubai Championship trophy to his long list of successes - but not before he was given a test by Ivan Ljubicic.

I don't know, it was really weird.""
Ljubicic was at a loss to explain his poor showing in the first set."
1738,"Young debut cut short by Ginepri

Fifteen-year-old Donald Young's first appearance in an ATP tennis tournament proved brief as the teenager went out in round one of the San Jose Open.

And Ginepri - six years older than the youngest player to ever win a junior slam and top the global standings - admitted he was impressed.

Agassi has won the San Jose five times, but his run of three straight titles ended last year when he fell to Mardy Fish in the semi-finals.Fish went on to lose to Roddick in the final.
American Kevin Kim defeated Jan Hernych of the Czech Republic 7-5 6-3, Canadian qualifier Frank Dancevic downed American Jeff Morrison 4-6 7-6 (7-3) 6-0, and Denmark's Kenneth Carlsen beat Irakli Labadze of the Republic of Georgia 6-7 (4-7) 6-2 6-3.He came into the net and volleyed better than I thought.""""His serve is a little deceptive."
1739,"Melzer has now beaten Agassi in two of their three meetings.

""I didn't want him to play his game.Melzer shocks Agassi

Second seed Andre Agassi suffered a comprehensive defeat by Jurgen Melzer in the quarter-finals of the SAP Open.

""It's always tough to come out to play Andre.""
""But I didn't convert on the big points.That's what he did both times."
1740,"Federer forced to dig deep

Top seed Roger Federer had to save two match points before squeezing past Juan Carlos Ferrero at the Dubai Open.

But the Swiss star hit back to reach the quarter-finals, where he will face seventh seed Russian Mikhail Youzhny.The world number one took two hours 15 minutes to earn his 4-6 6-3 7-6 victory, saving match points at 6-4 in the tiebreak before claiming it 8-6.""
""I haven't been playing well, but I've been coming through.Federer made a number of unforced errors early on, allowing Ferrero to take advantage and claim the first set.""I definitely had a slow start again and to come back every time is quite an effort,"" he said."
